feature,importance
atr_14_lag1,17.43323259601566
oi_zscore_lag1,13.951370164308308
oi_momentum_lag1,9.73663037862866
atr_norm_spread_lag1,9.32563124968137
oi_change_pct_lag1,8.85625671219175
oi_acceleration_lag1,8.291020406118886
cvd_norm_30_lag1,8.207451637535064
btc_corr_30_lag1,7.247200250019023
relative_strength_30_lag1,5.696187368031546
parkinson_vol_20_lag1,4.969797031650017
aggressive_trade_size_lag1,3.373349321596295
cvd_30_lag1,2.9118728842234245
cvd_norm_10_lag1,0.0
cvd_10_lag1,0.0
delta_ma_ratio_10_lag1,0.0
taker_buy_ratio_lag1,0.0
vol_spike_60_lag1,0.0
vol_spike_20_lag1,0.0
vol_acceleration_lag1,0.0
rvol_seasonal_lag1,0.0
vol_zscore_120_lag1,0.0
vol_zscore_60_lag1,0.0
vol_zscore_20_lag1,0.0
delta_ma_ratio_30_lag1,0.0
taker_buy_quote_ratio_lag1,0.0
lower_wick_ratio_lag1,0.0
candle_body_ratio_lag1,0.0
breakout_lower_20_lag1,0.0
breakout_upper_20_lag1,0.0
log_return_lag1,0.0
upper_wick_ratio_lag1,0.0
btc_corr_drop_lag1,0.0
