feature,importance
oi_momentum_lag1,20.978987018008183
parkinson_vol_20_lag1,19.525217976459643
oi_zscore_lag1,16.619452504449416
oi_change_pct_lag1,11.642788686740456
oi_acceleration_lag1,10.036706057572799
btc_corr_30_lag1,8.001532646929856
atr_14_lag1,4.585464774374587
aggressive_trade_size_lag1,3.920603911593663
relative_strength_30_lag1,2.6696628287292468
atr_norm_spread_lag1,2.0195835951421577
cvd_10_lag1,0.0
taker_buy_ratio_lag1,0.0
delta_ma_ratio_10_lag1,0.0
cvd_30_lag1,0.0
cvd_norm_30_lag1,0.0
taker_buy_quote_ratio_lag1,0.0
vol_spike_60_lag1,0.0
vol_spike_20_lag1,0.0
vol_acceleration_lag1,0.0
rvol_seasonal_lag1,0.0
vol_zscore_120_lag1,0.0
vol_zscore_60_lag1,0.0
vol_zscore_20_lag1,0.0
delta_ma_ratio_30_lag1,0.0
cvd_norm_10_lag1,0.0
lower_wick_ratio_lag1,0.0
candle_body_ratio_lag1,0.0
breakout_lower_20_lag1,0.0
breakout_upper_20_lag1,0.0
log_return_lag1,0.0
upper_wick_ratio_lag1,0.0
btc_corr_drop_lag1,0.0
